Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/038.p
Built BDT with these hyperparameters:
{'learning_rate': 0.3182960289073319, 'n_estimators': 920.0, 'subsample': 0.8890679371308995, 'maximum_depth': 8}
[06:32:39] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[53]	validation_0-mae:0.043457	validation_0-auc:0.981315	validation_1-mae:0.043799	validation_1-auc:0.981335
[54]	validation_0-mae:0.043379	validation_0-auc:0.981382	validation_1-mae:0.043717	validation_1-auc:0.981404
[55]	validation_0-mae:0.043125	validation_0-auc:0.981422	validation_1-mae:0.043459	validation_1-auc:0.98144
[56]	validation_0-mae:0.043031	validation_0-auc:0.98148	validation_1-mae:0.043366	validation_1-auc:0.9815
[57]	validation_0-mae:0.042972	validation_0-auc:0.981511	validation_1-mae:0.043307	validation_1-auc:0.981531
[58]	validation_0-mae:0.042665	validation_0-auc:0.981575	validation_1-mae:0.042997	validation_1-auc:0.981598
[59]	validation_0-mae:0.042558	validation_0-auc:0.981603	validation_1-mae:0.042889	validation_1-auc:0.981625
[60]	validation_0-mae:0.042454	validation_0-auc:0.981687	validation_1-mae:0.042784	validation_1-auc:0.981704
[61]	validation_0-mae:0.042369	validation_0-auc:0.981717	validation_1-mae:0.042696	validation_1-auc:0.98173
[62]	validation_0-mae:0.042344	validation_0-auc:0.981761	validation_1-mae:0.042669	validation_1-auc:0.981774
[63]	validation_0-mae:0.042246	validation_0-auc:0.981779	validation_1-mae:0.042569	validation_1-auc:0.981798
[64]	validation_0-mae:0.042197	validation_0-auc:0.981799	validation_1-mae:0.04252	validation_1-auc:0.981817
[65]	validation_0-mae:0.042109	validation_0-auc:0.981814	validation_1-mae:0.042429	validation_1-auc:0.981832
[66]	validation_0-mae:0.042024	validation_0-auc:0.98183	validation_1-mae:0.042345	validation_1-auc:0.981849
[67]	validation_0-mae:0.041941	validation_0-auc:0.981856	validation_1-mae:0.042261	validation_1-auc:0.981874
[68]	validation_0-mae:0.041918	validation_0-auc:0.981868	validation_1-mae:0.042238	validation_1-auc:0.981888
[69]	validation_0-mae:0.041883	validation_0-auc:0.981894	validation_1-mae:0.042204	validation_1-auc:0.981917
[70]	validation_0-mae:0.041805	validation_0-auc:0.981928	validation_1-mae:0.042122	validation_1-auc:0.981956
[71]	validation_0-mae:0.041719	validation_0-auc:0.982002	validation_1-mae:0.042032	validation_1-auc:0.982035
[72]	validation_0-mae:0.04169	validation_0-auc:0.982011	validation_1-mae:0.042004	validation_1-auc:0.982043
[73]	validation_0-mae:0.041517	validation_0-auc:0.982039	validation_1-mae:0.041827	validation_1-auc:0.982073
[74]	validation_0-mae:0.041476	validation_0-auc:0.982048	validation_1-mae:0.041787	validation_1-auc:0.982082
[75]	validation_0-mae:0.041356	validation_0-auc:0.982098	validation_1-mae:0.041665	validation_1-auc:0.982129
[76]	validation_0-mae:0.041311	validation_0-auc:0.982116	validation_1-mae:0.041619	validation_1-auc:0.982147
[77]	validation_0-mae:0.041194	validation_0-auc:0.982149	validation_1-mae:0.041501	validation_1-auc:0.982176
[78]	validation_0-mae:0.041153	validation_0-auc:0.982185	validation_1-mae:0.041459	validation_1-auc:0.982208
[79]	validation_0-mae:0.041118	validation_0-auc:0.982202	validation_1-mae:0.041424	validation_1-auc:0.982227
[80]	validation_0-mae:0.041096	validation_0-auc:0.982211	validation_1-mae:0.041402	validation_1-auc:0.982237
[81]	validation_0-mae:0.041044	validation_0-auc:0.982234	validation_1-mae:0.04135	validation_1-auc:0.982261
[82]	validation_0-mae:0.040953	validation_0-auc:0.982272	validation_1-mae:0.041258	validation_1-auc:0.982297
[83]	validation_0-mae:0.040914	validation_0-auc:0.982287	validation_1-mae:0.041218	validation_1-auc:0.982312
[84]	validation_0-mae:0.040811	validation_0-auc:0.982302	validation_1-mae:0.041112	validation_1-auc:0.982329
[85]	validation_0-mae:0.040788	validation_0-auc:0.982317	validation_1-mae:0.04109	validation_1-auc:0.982343
[86]	validation_0-mae:0.040734	validation_0-auc:0.982318	validation_1-mae:0.041035	validation_1-auc:0.982346
[87]	validation_0-mae:0.040655	validation_0-auc:0.982332	validation_1-mae:0.040957	validation_1-auc:0.982363
[88]	validation_0-mae:0.040603	validation_0-auc:0.982347	validation_1-mae:0.040905	validation_1-auc:0.98238
[89]	validation_0-mae:0.04052	validation_0-auc:0.982376	validation_1-mae:0.040821	validation_1-auc:0.98241
[90]	validation_0-mae:0.040453	validation_0-auc:0.9824	validation_1-mae:0.040753	validation_1-auc:0.982434
[91]	validation_0-mae:0.040428	validation_0-auc:0.982411	validation_1-mae:0.040728	validation_1-auc:0.982445
[92]	validation_0-mae:0.040384	validation_0-auc:0.982432	validation_1-mae:0.040682	validation_1-auc:0.982467
[93]	validation_0-mae:0.040384	validation_0-auc:0.982452	validation_1-mae:0.040682	validation_1-auc:0.982489
[94]	validation_0-mae:0.04033	validation_0-auc:0.982477	validation_1-mae:0.040627	validation_1-auc:0.982513
[95]	validation_0-mae:0.040265	validation_0-auc:0.982482	validation_1-mae:0.040561	validation_1-auc:0.982519
[96]	validation_0-mae:0.040235	validation_0-auc:0.982502	validation_1-mae:0.040532	validation_1-auc:0.982537
[97]	validation_0-mae:0.040146	validation_0-auc:0.982515	validation_1-mae:0.040441	validation_1-auc:0.982552
[98]	validation_0-mae:0.040116	validation_0-auc:0.982519	validation_1-mae:0.040411	validation_1-auc:0.982555
[99]	validation_0-mae:0.040092	validation_0-auc:0.982535	validation_1-mae:0.040387	validation_1-auc:0.982573
[100]	validation_0-mae:0.040088	validation_0-auc:0.982547	validation_1-mae:0.040383	validation_1-auc:0.982587
[101]	validation_0-mae:0.04005	validation_0-auc:0.982553	validation_1-mae:0.040344	validation_1-auc:0.982593
[102]	validation_0-mae:0.040025	validation_0-auc:0.982563	validation_1-mae:0.040319	validation_1-auc:0.982603
[103]	validation_0-mae:0.04001	validation_0-auc:0.982568	validation_1-mae:0.040304	validation_1-auc:0.982608
[104]	validation_0-mae:0.039991	validation_0-auc:0.982574	validation_1-mae:0.040283	validation_1-auc:0.982613
[105]	validation_0-mae:0.039965	validation_0-auc:0.982575	validation_1-mae:0.040257	validation_1-auc:0.982613
[106]	validation_0-mae:0.039835	validation_0-auc:0.982598	validation_1-mae:0.040126	validation_1-auc:0.982636
[107]	validation_0-mae:0.03977	validation_0-auc:0.982621	validation_1-mae:0.04006	validation_1-auc:0.982661
[108]	validation_0-mae:0.039723	validation_0-auc:0.982631	validation_1-mae:0.040014	validation_1-auc:0.98267
[109]	validation_0-mae:0.039702	validation_0-auc:0.982642	validation_1-mae:0.039994	validation_1-auc:0.982682
[110]	validation_0-mae:0.03965	validation_0-auc:0.982658	validation_1-mae:0.039942	validation_1-auc:0.982698
[111]	validation_0-mae:0.039637	validation_0-auc:0.982661	validation_1-mae:0.039928	validation_1-auc:0.982703
[112]	validation_0-mae:0.039625	validation_0-auc:0.982665	validation_1-mae:0.039916	validation_1-auc:0.982705
[113]	validation_0-mae:0.039577	validation_0-auc:0.982674	validation_1-mae:0.039867	validation_1-auc:0.982717
[114]	validation_0-mae:0.039574	validation_0-auc:0.982677	validation_1-mae:0.039864	validation_1-auc:0.98272
[115]	validation_0-mae:0.039571	validation_0-auc:0.9827	validation_1-mae:0.039863	validation_1-auc:0.982742
[116]	validation_0-mae:0.039581	validation_0-auc:0.982706	validation_1-mae:0.039873	validation_1-auc:0.982745
[117]	validation_0-mae:0.039529	validation_0-auc:0.982739	validation_1-mae:0.039818	validation_1-auc:0.98278
[118]	validation_0-mae:0.039515	validation_0-auc:0.982741	validation_1-mae:0.039804	validation_1-auc:0.98278
[119]	validation_0-mae:0.039492	validation_0-auc:0.982756	validation_1-mae:0.039782	validation_1-auc:0.982796
[120]	validation_0-mae:0.039471	validation_0-auc:0.982767	validation_1-mae:0.039759	validation_1-auc:0.98281
[121]	validation_0-mae:0.039434	validation_0-auc:0.982771	validation_1-mae:0.039721	validation_1-auc:0.982815
[122]	validation_0-mae:0.03935	validation_0-auc:0.982785	validation_1-mae:0.039638	validation_1-auc:0.982827
[123]	validation_0-mae:0.039339	validation_0-auc:0.982792	validation_1-mae:0.039626	validation_1-auc:0.982833
[124]	validation_0-mae:0.039287	validation_0-auc:0.982804	validation_1-mae:0.039574	validation_1-auc:0.982844
[125]	validation_0-mae:0.039307	validation_0-auc:0.982816	validation_1-mae:0.039594	validation_1-auc:0.982856
[126]	validation_0-mae:0.039274	validation_0-auc:0.982822	validation_1-mae:0.03956	validation_1-auc:0.982863
[127]	validation_0-mae:0.039266	validation_0-auc:0.982835	validation_1-mae:0.039553	validation_1-auc:0.982874
[128]	validation_0-mae:0.039268	validation_0-auc:0.982864	validation_1-mae:0.039556	validation_1-auc:0.982902
[129]	validation_0-mae:0.039221	validation_0-auc:0.982872	validation_1-mae:0.039506	validation_1-auc:0.982913
[130]	validation_0-mae:0.039228	validation_0-auc:0.982877	validation_1-mae:0.039513	validation_1-auc:0.982917
[131]	validation_0-mae:0.039229	validation_0-auc:0.982887	validation_1-mae:0.039513	validation_1-auc:0.982928
[132]	validation_0-mae:0.039209	validation_0-auc:0.982897	validation_1-mae:0.039493	validation_1-auc:0.982941
[133]	validation_0-mae:0.039177	validation_0-auc:0.982907	validation_1-mae:0.039462	validation_1-auc:0.982948
[134]	validation_0-mae:0.039076	validation_0-auc:0.982914	validation_1-mae:0.039364	validation_1-auc:0.98296
[135]	validation_0-mae:0.039053	validation_0-auc:0.982935	validation_1-mae:0.039339	validation_1-auc:0.982976
[136]	validation_0-mae:0.039037	validation_0-auc:0.982937	validation_1-mae:0.039324	validation_1-auc:0.982978
[137]	validation_0-mae:0.03903	validation_0-auc:0.982938	validation_1-mae:0.039317	validation_1-auc:0.982981
[138]	validation_0-mae:0.038993	validation_0-auc:0.982942	validation_1-mae:0.039281	validation_1-auc:0.982986
[139]	validation_0-mae:0.038981	validation_0-auc:0.982954	validation_1-mae:0.039268	validation_1-auc:0.982993
[140]	validation_0-mae:0.038948	validation_0-auc:0.982958	validation_1-mae:0.039234	validation_1-auc:0.982996
[141]	validation_0-mae:0.038918	validation_0-auc:0.98298	validation_1-mae:0.039204	validation_1-auc:0.983015
[142]	validation_0-mae:0.038899	validation_0-auc:0.982996	validation_1-mae:0.039183	validation_1-auc:0.983028
[143]	validation_0-mae:0.038893	validation_0-auc:0.982998	validation_1-mae:0.039177	validation_1-auc:0.98303
[144]	validation_0-mae:0.038861	validation_0-auc:0.98301	validation_1-mae:0.039143	validation_1-auc:0.98304
[145]	validation_0-mae:0.038854	validation_0-auc:0.983011	validation_1-mae:0.039137	validation_1-auc:0.983041
[146]	validation_0-mae:0.038792	validation_0-auc:0.983032	validation_1-mae:0.039073	validation_1-auc:0.983061
[147]	validation_0-mae:0.038745	validation_0-auc:0.983041	validation_1-mae:0.039026	validation_1-auc:0.983072
[148]	validation_0-mae:0.038736	validation_0-auc:0.983044	validation_1-mae:0.039017	validation_1-auc:0.983075
[149]	validation_0-mae:0.038707	validation_0-auc:0.983053	validation_1-mae:0.038988	validation_1-auc:0.983087
[150]	validation_0-mae:0.03868	validation_0-auc:0.983059	validation_1-mae:0.03896	validation_1-auc:0.983092
[151]	validation_0-mae:0.038679	validation_0-auc:0.983076	validation_1-mae:0.03896	validation_1-auc:0.983106
[152]	validation_0-mae:0.038681	validation_0-auc:0.983086	validation_1-mae:0.038964	validation_1-auc:0.983112
[153]	validation_0-mae:0.038667	validation_0-auc:0.983088	validation_1-mae:0.038951	validation_1-auc:0.983113
[154]	validation_0-mae:0.038668	validation_0-auc:0.98309	validation_1-mae:0.038953	validation_1-auc:0.983114
[155]	validation_0-mae:0.03864	validation_0-auc:0.983095	validation_1-mae:0.038925	validation_1-auc:0.98312
[156]	validation_0-mae:0.038613	validation_0-auc:0.983105	validation_1-mae:0.038897	validation_1-auc:0.983128
[157]	validation_0-mae:0.038592	validation_0-auc:0.983108	validation_1-mae:0.038875	validation_1-auc:0.983131
[158]	validation_0-mae:0.038525	validation_0-auc:0.983125	validation_1-mae:0.038806	validation_1-auc:0.983148
[159]	validation_0-mae:0.038528	validation_0-auc:0.983129	validation_1-mae:0.038809	validation_1-auc:0.983151
[160]	validation_0-mae:0.03853	validation_0-auc:0.983138	validation_1-mae:0.038811	validation_1-auc:0.983161
[161]	validation_0-mae:0.038526	validation_0-auc:0.983139	validation_1-mae:0.038808	validation_1-auc:0.983161
[162]	validation_0-mae:0.038514	validation_0-auc:0.98315	validation_1-mae:0.038796	validation_1-auc:0.983173
[163]	validation_0-mae:0.038521	validation_0-auc:0.983175	validation_1-mae:0.038802	validation_1-auc:0.983195
[164]	validation_0-mae:0.038501	validation_0-auc:0.983191	validation_1-mae:0.038783	validation_1-auc:0.98321
[165]	validation_0-mae:0.038489	validation_0-auc:0.983205	validation_1-mae:0.03877	validation_1-auc:0.983224
[166]	validation_0-mae:0.038464	validation_0-auc:0.983221	validation_1-mae:0.038746	validation_1-auc:0.983239
[167]	validation_0-mae:0.038456	validation_0-auc:0.983293	validation_1-mae:0.038738	validation_1-auc:0.983307
[168]	validation_0-mae:0.03845	validation_0-auc:0.983298	validation_1-mae:0.038732	validation_1-auc:0.983313
[169]	validation_0-mae:0.038419	validation_0-auc:0.983297	validation_1-mae:0.038699	validation_1-auc:0.983312
[170]	validation_0-mae:0.038403	validation_0-auc:0.983309	validation_1-mae:0.038684	validation_1-auc:0.983325
[171]	validation_0-mae:0.038407	validation_0-auc:0.983328	validation_1-mae:0.038689	validation_1-auc:0.98334
[172]	validation_0-mae:0.038375	validation_0-auc:0.983329	validation_1-mae:0.038657	validation_1-auc:0.983343
[173]	validation_0-mae:0.03837	validation_0-auc:0.983333	validation_1-mae:0.038652	validation_1-auc:0.983345
[174]	validation_0-mae:0.038337	validation_0-auc:0.98335	validation_1-mae:0.038618	validation_1-auc:0.983365
[175]	validation_0-mae:0.03833	validation_0-auc:0.983359	validation_1-mae:0.038612	validation_1-auc:0.983373
[176]	validation_0-mae:0.038313	validation_0-auc:0.983366	validation_1-mae:0.038593	validation_1-auc:0.983379
[177]	validation_0-mae:0.038314	validation_0-auc:0.983378	validation_1-mae:0.038595	validation_1-auc:0.98339
[178]	validation_0-mae:0.03831	validation_0-auc:0.983382	validation_1-mae:0.038591	validation_1-auc:0.983396
[179]	validation_0-mae:0.038304	validation_0-auc:0.983388	validation_1-mae:0.038587	validation_1-auc:0.983402
[180]	validation_0-mae:0.038301	validation_0-auc:0.983395	validation_1-mae:0.038585	validation_1-auc:0.983403
[181]	validation_0-mae:0.038292	validation_0-auc:0.983397	validation_1-mae:0.038577	validation_1-auc:0.983405
[182]	validation_0-mae:0.038288	validation_0-auc:0.9834	validation_1-mae:0.038572	validation_1-auc:0.983408
[183]	validation_0-mae:0.03828	validation_0-auc:0.983402	validation_1-mae:0.038565	validation_1-auc:0.983409
[184]	validation_0-mae:0.038257	validation_0-auc:0.983414	validation_1-mae:0.038542	validation_1-auc:0.983419
[185]	validation_0-mae:0.038247	validation_0-auc:0.98342	validation_1-mae:0.038533	validation_1-auc:0.983424
[186]	validation_0-mae:0.03825	validation_0-auc:0.983451	validation_1-mae:0.038535	validation_1-auc:0.983456
[187]	validation_0-mae:0.038241	validation_0-auc:0.983453	validation_1-mae:0.038526	validation_1-auc:0.983457
[188]	validation_0-mae:0.038234	validation_0-auc:0.983454	validation_1-mae:0.03852	validation_1-auc:0.983457
[189]	validation_0-mae:0.03823	validation_0-auc:0.983455	validation_1-mae:0.038516	validation_1-auc:0.983457
[190]	validation_0-mae:0.038223	validation_0-auc:0.983457	validation_1-mae:0.038509	validation_1-auc:0.983459
[191]	validation_0-mae:0.038212	validation_0-auc:0.983458	validation_1-mae:0.038498	validation_1-auc:0.983459
[192]	validation_0-mae:0.03819	validation_0-auc:0.983473	validation_1-mae:0.038474	validation_1-auc:0.983472
[193]	validation_0-mae:0.038131	validation_0-auc:0.983488	validation_1-mae:0.038414	validation_1-auc:0.983486
[194]	validation_0-mae:0.038081	validation_0-auc:0.983496	validation_1-mae:0.038363	validation_1-auc:0.983495
[195]	validation_0-mae:0.038085	validation_0-auc:0.983496	validation_1-mae:0.038369	validation_1-auc:0.983494
[196]	validation_0-mae:0.038095	validation_0-auc:0.9835	validation_1-mae:0.038382	validation_1-auc:0.983499
[197]	validation_0-mae:0.038096	validation_0-auc:0.983501	validation_1-mae:0.038383	validation_1-auc:0.983499
[198]	validation_0-mae:0.038109	validation_0-auc:0.983513	validation_1-mae:0.038397	validation_1-auc:0.98351
[199]	validation_0-mae:0.038089	validation_0-auc:0.983515	validation_1-mae:0.038377	validation_1-auc:0.983512
[200]	validation_0-mae:0.038086	validation_0-auc:0.983518	validation_1-mae:0.038373	validation_1-auc:0.983515
[201]	validation_0-mae:0.038077	validation_0-auc:0.983523	validation_1-mae:0.038363	validation_1-auc:0.983522
[202]	validation_0-mae:0.038075	validation_0-auc:0.983533	validation_1-mae:0.038361	validation_1-auc:0.983532
[203]	validation_0-mae:0.038009	validation_0-auc:0.98354	validation_1-mae:0.038293	validation_1-auc:0.983541
