Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/069.p
Built BDT with these hyperparameters:
{'learning_rate': 0.308194968798375, 'n_estimators': 1067.0, 'subsample': 0.8918921387435979, 'maximum_depth': 8}
[20:21:55] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[0]	validation_0-mae:0.383355	validation_0-auc:0.897448	validation_1-mae:0.37734	validation_1-auc:0.897372
[1]	validation_0-mae:0.291509	validation_0-auc:0.925538	validation_1-mae:0.293779	validation_1-auc:0.925701
[2]	validation_0-mae:0.233319	validation_0-auc:0.943375	validation_1-mae:0.23471	validation_1-auc:0.943289
[3]	validation_0-mae:0.188737	validation_0-auc:0.958863	validation_1-mae:0.190072	validation_1-auc:0.958704
[4]	validation_0-mae:0.15565	validation_0-auc:0.960022	validation_1-mae:0.157473	validation_1-auc:0.959831
[5]	validation_0-mae:0.133486	validation_0-auc:0.961992	validation_1-mae:0.133926	validation_1-auc:0.961827
[6]	validation_0-mae:0.116638	validation_0-auc:0.964212	validation_1-mae:0.116746	validation_1-auc:0.964082
[7]	validation_0-mae:0.103427	validation_0-auc:0.966856	validation_1-mae:0.102972	validation_1-auc:0.966717
[8]	validation_0-mae:0.093012	validation_0-auc:0.969051	validation_1-mae:0.09293	validation_1-auc:0.968899
[9]	validation_0-mae:0.085006	validation_0-auc:0.96998	validation_1-mae:0.085711	validation_1-auc:0.969848
[10]	validation_0-mae:0.078337	validation_0-auc:0.970429	validation_1-mae:0.07886	validation_1-auc:0.970321
[11]	validation_0-mae:0.074324	validation_0-auc:0.972275	validation_1-mae:0.074098	validation_1-auc:0.972133
[12]	validation_0-mae:0.070689	validation_0-auc:0.972865	validation_1-mae:0.070307	validation_1-auc:0.972738
[13]	validation_0-mae:0.067412	validation_0-auc:0.974198	validation_1-mae:0.067418	validation_1-auc:0.974059
[14]	validation_0-mae:0.064208	validation_0-auc:0.974521	validation_1-mae:0.064484	validation_1-auc:0.974389
[15]	validation_0-mae:0.062453	validation_0-auc:0.975122	validation_1-mae:0.062631	validation_1-auc:0.974988
[16]	validation_0-mae:0.06026	validation_0-auc:0.975594	validation_1-mae:0.060707	validation_1-auc:0.975438
[17]	validation_0-mae:0.058761	validation_0-auc:0.976009	validation_1-mae:0.059299	validation_1-auc:0.975885
[18]	validation_0-mae:0.057112	validation_0-auc:0.976048	validation_1-mae:0.057746	validation_1-auc:0.975926
[19]	validation_0-mae:0.056165	validation_0-auc:0.976574	validation_1-mae:0.056779	validation_1-auc:0.976468
[20]	validation_0-mae:0.055259	validation_0-auc:0.976908	validation_1-mae:0.055856	validation_1-auc:0.97681
