Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/088.p
Built BDT with these hyperparameters:
{'learning_rate': 0.1362235239408696, 'n_estimators': 1867.0, 'subsample': 0.6947336683910338, 'maximum_depth': 6}
[02:32:02] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[0]	validation_0-mae:0.442538	validation_0-auc:0.897448	validation_1-mae:0.444959	validation_1-auc:0.897371
[1]	validation_0-mae:0.393875	validation_0-auc:0.91359	validation_1-mae:0.396602	validation_1-auc:0.913629
[2]	validation_0-mae:0.350436	validation_0-auc:0.943651	validation_1-mae:0.353664	validation_1-auc:0.943438
[3]	validation_0-mae:0.325263	validation_0-auc:0.949137	validation_1-mae:0.31908	validation_1-auc:0.949082
[4]	validation_0-mae:0.286469	validation_0-auc:0.949542	validation_1-mae:0.288458	validation_1-auc:0.949526
[5]	validation_0-mae:0.259491	validation_0-auc:0.951985	validation_1-mae:0.261818	validation_1-auc:0.95192
[6]	validation_0-mae:0.236302	validation_0-auc:0.954721	validation_1-mae:0.237209	validation_1-auc:0.954644
[7]	validation_0-mae:0.214813	validation_0-auc:0.959855	validation_1-mae:0.215277	validation_1-auc:0.959718
[8]	validation_0-mae:0.199821	validation_0-auc:0.961785	validation_1-mae:0.197287	validation_1-auc:0.961635
[9]	validation_0-mae:0.181014	validation_0-auc:0.96265	validation_1-mae:0.181768	validation_1-auc:0.962527
[10]	validation_0-mae:0.166581	validation_0-auc:0.962809	validation_1-mae:0.16788	validation_1-auc:0.962675
[11]	validation_0-mae:0.153903	validation_0-auc:0.962826	validation_1-mae:0.155019	validation_1-auc:0.96268
[12]	validation_0-mae:0.145783	validation_0-auc:0.964953	validation_1-mae:0.145203	validation_1-auc:0.964832
[13]	validation_0-mae:0.134984	validation_0-auc:0.966628	validation_1-mae:0.135592	validation_1-auc:0.966521
[14]	validation_0-mae:0.126278	validation_0-auc:0.966603	validation_1-mae:0.126993	validation_1-auc:0.966486
[15]	validation_0-mae:0.120858	validation_0-auc:0.967456	validation_1-mae:0.119682	validation_1-auc:0.967359
[16]	validation_0-mae:0.113514	validation_0-auc:0.968533	validation_1-mae:0.113056	validation_1-auc:0.968424
[17]	validation_0-mae:0.107391	validation_0-auc:0.968912	validation_1-mae:0.10733	validation_1-auc:0.968796
[18]	validation_0-mae:0.101475	validation_0-auc:0.968985	validation_1-mae:0.10247	validation_1-auc:0.968883
[19]	validation_0-mae:0.096904	validation_0-auc:0.96998	validation_1-mae:0.097577	validation_1-auc:0.969879
[20]	validation_0-mae:0.093955	validation_0-auc:0.970465	validation_1-mae:0.093876	validation_1-auc:0.970366
[21]	validation_0-mae:0.091026	validation_0-auc:0.971305	validation_1-mae:0.090355	validation_1-auc:0.971208
[22]	validation_0-mae:0.086671	validation_0-auc:0.971759	validation_1-mae:0.087313	validation_1-auc:0.971694
[23]	validation_0-mae:0.083448	validation_0-auc:0.972305	validation_1-mae:0.084093	validation_1-auc:0.972219
